u,g,r,i,z,redshift
22.68365,21.42558,20.4693,19.74544,19.24625,0.5970295
23.07674,21.84171,20.4385,19.55071,19.13462,0.4901517
25.24754,22.59126,21.17205,19.94492,19.52055,0.6162249
23.09989,21.50665,20.17711,19.32948,19.08285,0.5559278
22.80983,21.84372,20.43507,19.4282,19.06572,0.5400496
23.80521,22.47347,20.57342,19.70375,19.3539,0.5556563
23.19282,22.69966,21.07817,20.14262,19.76879,0.5325398
20.60183,18.74052,17.70005,17.2765,16.92056,0.117193
24.79201,22.54828,20.77317,19.768,19.40553,0.552448
19.64535,17.80195,16.7851,16.31314,15.97891,0.1369607
25.49261,22.56197,20.67323,19.51256,19.07062,0.5914406
22.30359,21.47947,20.41893,19.60742,19.25443,0.6191657
24.70643,23.40449,20.73192,19.59651,19.38618,0.6344535
24.51518,22.15225,20.37515,19.45584,18.92549,0.5587198
25.47255,23.05354,20.99783,20.07949,19.67537,0.5588324
21.16862,19.27529,17.78986,17.22366,16.92116,0.2588204
25.36633,22.10586,20.77466,19.9382,19.74817,0.44004
21.20976,19.02277,17.53701,16.97271,16.6532,0.2566839
18.73602,17.33447,16.51034,16.08035,15.88408,0.1379324
23.58574,22.12966,20.72927,19.79269,19.40347,0.6572599
25.16228,22.93388,21.02099,19.90055,19.57754,0.5595555
24.96457,21.86588,20.22966,19.36304,18.8567,0.5354335
22.47948,21.90386,20.20442,18.91467,18.3807,0.567274
26.13266,22.77563,20.81106,19.85278,19.1382,0.5315275
23.32947,21.87453,20.06567,19.27544,18.89812,0.5019554
21.51501,18.54417,17.48191,16.99864,16.61137,0.1108053
19.45337,18.46488,17.61321,17.17875,16.90181,0.2167902
24.4015,22.51991,20.98769,19.87365,19.62935,0.6652154
21.34442,19.45174,17.84874,17.28008,16.89889,0.2964919
25.30561,21.79817,20.01862,19.23446,18.89721,0.440186
24.76503,22.1296,20.48825,19.64418,19.26531,0.3257771
23.86974,22.73993,20.78891,19.805,19.21186,0.5760655
20.13994,18.10094,16.97737,16.5086,16.15003,0.1586149
24.75739,20.6738,18.91726,18.20229,17.71345,0.4432411
22.26721,21.28195,20.04789,19.31842,19.04282,0.5746629
24.4569,20.54379,18.8291,18.26214,17.86306,0.3421994
23.266,22.17961,20.61412,19.75543,19.46416,0.5125533
18.79384,16.8974,16.02806,15.64154,15.34296,0.08249047
18.89371,17.67459,16.94354,16.52724,16.25837,0.1210005
18.52095,17.47277,17.0734,16.77585,16.65888,0.07159798
19.6407,19.40669,19.6966,19.15224,21.98622,0.1438399
23.78239,21.81229,21.1405,20.15671,19.74024,0.6285298
21.63025,20.50501,19.53791,19.14628,19.04385,0.3065799
21.91079,20.40595,18.42114,17.80571,17.46546,0.3491151
20.50365,19.46679,19.00492,18.7166,18.5636,0.1588084
21.64016,20.186,19.13212,18.67544,18.31954,0.1985384
21.42406,19.18891,18.31367,17.97989,17.72706,0.1039954
23.12834,22.79441,21.03382,20.00064,19.37901,0.5691597
20.06391,18.8433,18.197,17.88326,17.72404,0.09915269
21.4877,19.413,18.14966,17.66984,17.38361,0.1835186
21.58562,20.9909,19.98232,19.72772,19.16331,0.3563891
20.71536,18.928,18.15522,17.65961,17.33627,0.08010332
25.06628,20.6291,19.21024,18.65279,18.27385,0.2553023
24.3747,20.11465,18.50534,17.93416,17.57906,0.3123216
21.85917,20.78761,19.11603,18.4405,17.88712,0.2874624
22.29479,19.96505,18.33623,17.76206,17.44653,0.2883438
25.88903,22.09592,20.57808,19.52662,18.99393,0.566991
23.01336,22.05329,20.58742,19.64235,19.07985,0.5539305
18.68146,17.06505,16.23478,15.86897,15.59516,0.03969949
18.85866,16.99081,16.19292,15.80973,15.50535,0.04565
21.1293,19.05571,17.70565,17.2093,16.85017,0.2144425
21.68545,19.62828,18.07983,17.51557,17.12815,0.299199
20.62422,18.58395,17.58292,17.14703,16.78843,0.1138679
19.84266,17.80668,16.63599,16.17545,15.81934,0.1570185
18.74854,17.52243,16.93932,16.67474,16.42822,0.02894331
17.09736,15.42632,14.70924,14.36953,14.09663,0.02728706
23.56862,22.506,21.04357,19.87955,19.50483,0.5591066
24.1851,22.98189,21.71444,20.51267,19.97595,0.6535757
20.68857,18.89412,17.52098,17.02966,16.67777,0.2120707
22.17691,19.55601,17.99503,17.41915,17.0973,0.2966327
24.05388,20.23705,18.60999,18.01826,17.60387,0.3254951
21.41365,20.29023,18.76451,18.21663,17.80772,0.3364089
19.52055,17.51142,16.5098,16.08982,15.72972,0.1141032
18.53012,17.16715,16.34285,15.93048,15.61344,0.1420054
17.59966,16.55211,16.19554,15.97805,15.83251,0.0286315
26.24466,21.74166,20.27966,19.52461,19.11658,0.4422713
21.19348,19.077,17.78779,17.31266,16.95419,0.2023069
19.13627,17.95394,17.4014,17.08783,16.87837,0.1086603
23.37441,22.69644,20.43354,19.58199,19.1275,0.4709805
17.24073,16.06682,15.4839,15.10891,14.86955,0.08081593
21.95852,20.86984,19.2351,18.32434,17.93593,0.4733315
24.22371,22.49047,21.48957,20.29626,21.60392,0.4397312
18.18521,16.76613,16.11923,15.76047,15.49077,0.06387816
24.46582,22.74894,20.34892,19.23209,18.66418,0.5810673
20.64706,18.57726,17.51443,17.1027,16.82627,0.2105248
21.11007,19.16992,17.82768,17.32716,17.01127,0.2140962
20.21389,18.45662,17.57527,17.15627,16.85222,0.08208837
23.79973,22.30279,20.46267,19.16955,18.79325,0.6227301
25.517,21.70306,20.08136,19.21813,18.8068,0.4992135
24.81045,21.28095,19.87778,19.12261,18.74561,0.4195737
19.7352,18.19293,17.25303,16.76069,16.40305,0.1151779
18.67036,17.14197,16.37064,15.9074,15.56672,0.054143
18.09828,16.13013,15.23404,14.79748,14.49421,0.0768416
20.18354,18.51773,17.69213,17.30323,16.91811,0.148352
17.48781,15.84062,15.07281,14.69988,14.39244,0.05517551
21.07213,18.97739,17.51994,16.97142,16.62733,0.2444815
19.39172,17.42975,16.41793,15.99734,15.63854,0.1220537
19.73413,17.82654,16.90147,16.48208,16.13264,0.1061808
20.59422,18.46569,17.40341,16.93049,16.53833,0.139893
22.65718,21.79829,20.72007,19.89965,19.5187,0.5363627
23.92388,22.2867,20.7668,19.742,19.30505,0.5092993
23.00396,21.70042,20.37616,19.57308,19.2862,0.5239296
19.74516,19.1085,18.78428,18.38274,18.39174,0.1454929
22.8007,21.82341,20.37578,19.44412,18.90178,0.5250266
20.39517,18.63419,17.7009,17.21713,16.88261,0.1495341
21.48662,19.58521,18.09476,17.50798,17.15463,0.2860533
22.32108,19.99231,18.49021,17.88102,17.5532,0.2964146
23.24712,22.75664,20.89537,19.86749,19.3497,0.54905
24.53016,22.36875,20.9225,20.02988,19.51958,0.6434356
20.36054,18.37547,17.48993,17.1043,16.82706,0.07170167
20.42797,18.67974,17.8267,17.44739,17.17582,0.06833026
25.51559,21.94441,20.76553,19.75131,19.1079,0.5673076
23.98519,21.92051,20.29222,19.50059,19.0011,0.473574
18.8808,17.66262,17.06926,16.7462,16.51585,0.1020495
19.03895,17.14738,16.33829,15.96238,15.65908,0.0523446
19.23621,17.4123,16.63693,16.24622,15.95002,0.0738864
17.72277,16.82992,16.48717,16.26849,16.08926,0.03480103
23.48717,22.6716,20.44814,19.33679,18.86951,0.6825814
24.21758,21.39281,19.4816,18.70871,18.18527,0.4529988
26.15279,22.52349,20.92547,19.49082,18.74011,0.7789189
23.6855,20.03036,18.38932,17.75813,17.40945,0.3256248
23.74022,21.57292,20.3616,19.44993,18.99421,0.5531015
21.84901,20.86518,19.59841,18.84529,18.61233,0.4734341
19.79013,18.3598,17.53472,17.10681,16.79192,0.1420915
24.65565,22.08223,20.70918,19.74772,19.31145,0.6598693
24.37984,24.45127,21.15841,19.76244,19.38466,0.6649394
26.13585,22.0267,20.30567,19.45261,18.99146,0.49518
24.87237,23.07956,20.74873,19.61574,19.28908,0.5543147
20.22664,18.45137,17.64134,17.27015,16.9674,0.08246665
22.57029,19.17616,17.62693,17.07045,16.72249,0.2867318
23.29636,22.93759,20.91341,19.77882,19.21227,0.6088768
25.14428,22.14851,20.67604,19.51278,19.04442,0.52925
24.4898,22.20148,20.53958,19.51848,19.11209,0.600406
24.16708,20.97084,19.30003,18.64971,18.29161,0.3811866
22.21025,22.20326,20.45078,19.21258,18.66887,0.6703862
19.02422,17.87591,17.3897,17.04727,16.8465,0.088566
24.97257,22.4685,20.80617,19.76012,19.31326,0.5407494
22.63167,21.97931,20.15806,19.1556,18.65681,0.5513423
22.53616,21.9192,19.63628,18.71655,18.25978,0.4153416
21.52525,20.90593,19.71764,18.98559,18.56465,0.5094204
24.10517,22.31456,20.85302,19.85963,19.45003,0.5050612
24.2157,21.97931,20.19001,19.11435,18.67697,0.5830615
23.82142,20.69669,18.99819,18.33312,17.92085,0.3990801
22.02548,21.0738,20.38032,19.50998,19.06392,0.6379979
19.20527,17.29047,16.3785,15.96386,15.59827,0.1097473
23.0541,22.40943,20.55369,19.39889,18.87118,0.6399323
18.80694,17.56888,16.83518,16.43488,16.17577,0.1175562
22.71873,20.98962,19.20032,18.54098,18.07026,0.4165408
26.69013,21.23026,19.91315,18.80793,18.42862,0.6285086
23.68114,22.44607,21.1668,20.23482,20.04403,0.6704898
18.83655,17.11183,16.11556,15.68138,15.41357,0.1504243
