Neurons,Sigma1,Sigm2,Sigma3,Sigma4,Sigma5,Sigma6,Sigma7,Sigma8,Sigma9,Sigma10
5,0.0448852133527,0.0396159512632,0.0409665921031,0.0379468347384,0.0484355397551,0.0417213824026,0.0391749312594,0.0375325099984,0.0355121235107,0.0450001539169
10,0.0363228722528,0.0385104519149,0.0382306694052,0.0324638717874,0.0381800334548,0.0394039622375,0.0351951802039,0.0385130007516,0.0335875729909,0.0374911257823
20,0.0391987380808,0.0370907481661,0.0339987666807,0.0417246922465,0.0350883435408,0.0338973353462,0.033829559018,0.0352632553898,0.0363648058161,0.03467587225
30,0.0321179517282,0.0341620364596,0.0328884604795,0.0360944744261,0.0359477677386,0.0345196543103,0.0349331504351,0.0335121445725,0.0330942842797,0.0343689258421
40,0.0369817318874,0.0334604857197,0.0355270555752,0.0350256861142,0.0354516957876,0.0360724506464,0.0370678425493,0.0377121672447,0.0329196837096,0.0363673591538
50,0.0349360919268,0.0357518301033,0.035528478605,0.0335587456034,0.0361463007422,0.0346618704526,0.0350173339182,0.0362485651036,0.037459901388,0.0350325831525
60,0.0356235165337,0.0364410638056,0.0375839126761,0.0338241648633,0.0349502418836,0.0346771253594,0.0346190077875,0.0354141462638,0.037513395711,0.0352667922692
70,0.0373930584597,0.0344129559985,0.0361393030122,0.0344379497741,0.034412313594,0.0347115268997,0.0350398928165,0.0353903711797,0.0340514416557,0.034641563483
80,0.0353117992147,0.035999047465,0.0354963280048,0.0364508309674,0.0349441248008,0.0353857690239,0.0355808250968,0.0367660833777,0.0384871793677,0.0366731218242
90,0.0352409122125,0.0362181300816,0.0371160676778,0.0353878077803,0.0350175120811,0.0353109215396,0.0329881105843,0.0341378488137,0.0346409190856,0.0357869217247
100,0.0352952937661,0.0357627750624,0.0354272089459,0.0347748431868,0.0343410024956,0.0345552320865,0.03487026381,0.0358877453827,0.0367281786377,0.034916624933
